,expl,frequency
0,субъект,3327
1,пациенс,3055
2,агенс,1778
3,тема,1334
4,содержание,1235
5,причина,865
6,место,816
7,говорящий,727
8,конечная точка,702
9,результат,557
10,контрагент,490
11,стимул,459
12,адресат,294
13,эффектор,250
14,источник,229
15,конечный посессор,216
16,начальная точка,201
17,цель,183
18,предмет высказывания,175
19,способ,152
20,инструмент,146
21,предмет мысли,141
22,часть субъект,141
23,признак,134
24,сфера,131
25,эталон,97
26,исходный посессор,84
27,срок,78
28,запах,76
29,потенциальная угроза,71
30,траектория,67
31,каузатор,65
32,статус,65
33,ситуация,62
34,опора,60
35,посессор,47
36,мотивировка,33
37,множество,33
38,параметр,27
39,направление,26
40,предел,25
41,средство,24
42,бенефициант,24
43,ресурс,22
44,свойство причины,22
45,аудитория,19
46,экспериенцер,19
47,момент,18
48,кореферентно X-у или часть X-а,13
49,среда,13
50,звук,13
51,значение параметра,12
52,содержимое,12
53,контейнер,12
54,точка контакта,12
55,носитель информации,12
56,часть темы в фокусе внимания,12
57,метафорический контейнер,10
58,метафорическое содержимое,10
59,цена,9
60,расстояние,8
61,социальная среда,7
62,потенциальный эффектор,5
63,возраст,5
64,конечное состояние,5
65,качество,4
66,сила,2
67,"то, что выделяется",2
68,"тот, кто платит",2
69,заместитель,2
70,степень,2
71,имя существительное,1
72,начальный посессор,1
73,мера,1
74,малефициант,1
75,уровень,1
