,target,ConstrPattern
0,волноваться 1.1,Snom V
1,волноваться 1.2,Snom V из-за + Sgen
2,волноваться 1.3,Snom V за + Sacc
3,волноваться 1.4,Snom V что + CL
4,волноваться 1.5,Snom V CLi
5,волноваться 1.6,Snom V «CL»
6,волноваться 1.7,Snom V Vinf
7,волноваться 1.8,Snom V ADVPRO
8,волноваться 1.9,Snom V о + Sloc
9,волноваться 1.10,Snom V по + Sdat
10,волноваться 1.11,Snom V CL
11,волноваться 1.12,Snom V Rel + CL
12,выступить 1.1,Snom V
13,выступить 1.2,Snom V {ADV / PRоткуда + Sx}
14,выступить 1.3,Snom V {ADV / PRкуда + Sx}
15,выступить 2.1,Snom V
16,выступить 3.1,Snom V
17,выступить 3.2,Snom V {ADV / PRоткуда + Sx}
18,выступить 3.3,Snom V {ADV / PRкуда + Sx}
19,выступить 3.4,Snom V в + Sacc
20,выступить 3.5,Snom V PRгде + Sx
21,выступить 4.1,Snom V из + берегов
22,выступить 5.1,Snom V на + Sloc
23,выступить 5.2,Snom V на + Sloc у + Sgen
24,выступить 5.3,Snom V
25,выступить 5.4,Snom V PRгде + Sx
26,выступить 5.5,Snom V у + Sgen от + Sgen
27,выступить 6.1,Snom V из + Sgen
28,выступить 6.2,Snom V в + Sloc
29,выступить 7.1,Snom V {ADV / PRоткуда + Sx}
30,выступить 7.2,Snom V {ADV / PRкуда + Sx}
31,выступить 8.1,Snom V по + Sdat
32,выступить 8.2,Snom V перед + Sins
33,выступить 8.3,Snom V с + Sins
34,выступить 8.4,Snom V {в + роли + Sgen / в + образе + Sgen}
35,выступить 8.5,Snom V PRгде + Sx
36,выступить 8.6,Snom V
37,выступить 8.7,Snom V с + Sins перед + Sins
38,выступить 8.8,Snom V в + Sloc
39,выступить 8.9,Snom V с + Sins {в + Sloc / на + Sloc}
40,выступить 8.10,Snom V перед + Sins PRгде + Sx
41,выступить 9.1,Snom V Sins
42,выступить 9.2,Snom V во + главе + Sgen
43,выступить 10.1,Snom V против + Sgen
44,выступить 10.2,Snom V {за + Sacc / на + Sacc}
45,выступить 10.3,Snom V {в + защиту + Sgen / на + стороне + Sgen / в + пользу + Sgen}
46,выступить 10.4,Snom V против + Sgen {в + Sloc / на + Sloc}
47,выступить 10.5,Snom V {по + поводу + Sgen / по + Adat + поводу}
48,выступить 10.6,Snom V Sins за + Sacc
49,выступить 11.1,Snom V перед + Sins
50,выступить 11.2,Snom V перед + Sins как + Snom
51,выступить 11.3,Snom V PRгде + Sx
52,вывести 1.1,Snom V Sacc
53,вывести 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
54,вывести 1.3,Snom V Sacc {ADV / PRкуда + Sx}
55,вывести 1.4,Snom V Sacc {за + Sacc / под + Sacc}
56,вывести 1.5,Snom V Sacc на + Sacc
57,вывести 1.6,Snom V Sacc Vinf
58,вывести 1.7,Snom V Sacc PRтраект + Sx
59,вывести 1.8,Snom V Sacc {ADV / PRоткуда + Sx} {ADV / PRкуда + Sy}
60,вывести 2.1,Snom V Sacc {ADV / PRоткуда + Sx}
61,вывести 2.2,Snom V Sacc {ADV / PRкуда + Sx}
62,вывести 3.1,Snom V {ADV / PRкуда + Sx}
63,вывести 4.1,Snom V Sacc из + Sgen
64,вывести 5.1,Snom V Sacc {ADV / PRоткуда + Sx}
65,вывести 5.2,Snom V Sacc {ADV / PRкуда + Sx}
66,вывести 5.3,Snom V Sacc из + Sgen {ADV / PRкуда + Sx}
67,вывести 6.1,Snom V Sacc
68,вывести 6.2,Snom V Conj + CL
69,вывести 6.3,Snom V Rel + CL
70,вывести 6.4,Snom V {Sacc / Conj + CL / Rel + CL} из + Sgen
71,вывести 7.1,Snom V Sacc
72,вывести 8.1,Snom V Sacc
73,вывести 9.1,Snom V Sacc
74,вывести 10.1,Snom V Sacc
75,вывести 10.2,Snom V «CL»
76,вывести 10.3,Snom V {Sacc / «CL»} Sins
77,вывести 10.4,Snom V {Sacc / «CL»} на + Sloc
78,вывести 10.5,Snom V {Sacc / «CL»} Sins на + Sloc
79,вывести 11.1,Snom V Sacc в + Sloc
80,вывести 11.2,Snom V Sacc
81,вывести 12.1,Snom V Sacc
82,вывести 12.2,Snom V Sacc PRгде + Sx
83,вывести 12.3,Snom V Sacc Sins
84,аплодировать 1.1,Snom V
85,аплодировать 1.2,Snom V Sdat
86,арендовать 1.1,Snom V Sacc
87,арендовать 1.2,Snom V Sacc у + Sgen
88,арендовать 1.3,Snom V Sacc за + Sacc
89,арендовать 1.4,Snom V Sacc на + Sacc
90,арестовать 1.1,Snom V Sacc
91,арестовать 1.2,Snom V Sacc за + Sacc
92,арестовать 2.1,Snom V Sacc
93,арестовать 2.2,Snom V Sacc у + Sgen
94,арестовать 2.3,Snom V Sacc за + Sacc
95,ассигновать 1.1,Snom V Sacc для + Sgen
96,ассигновать 1.2,Snom V Sacc Sdat
97,ассигновать 1.3,Snom V Sacc на + Sacc
98,ассоциировать 1.3,Snom V Sacc
99,ассоциировать 1.1,Snom V Sacc с + Sins
100,баловать 1.1,Snom V Sacc
101,баловать 1.2,Snom V Sacc Sins
102,баловать 2.3,Snom V Sacc
103,баловать 2.1,Snom _V_ Sacc Sins
104,бегать 1.1,Snom V
105,бегать 1.2,Snom V {ADV / PRкуда + Sx}
106,бегать 1.3,Snom V {ADV / PRгде + Sx}
107,бегать 1.4,Snom V PRтраект + Sx
108,бегать 1.5,Snom V на + Sacc
109,бегать 1.6,Snom V на + Sloc
110,бегать 1.7,Snom V PRоткуда + Sx PRкуда + Sy
111,бегать 2.1,Snom V у + Sgen
112,бегать 3.1,Snom V от + Sgen
113,бегать 4.1,Snom V по + Sdat
114,бегать 4.2,Snom V Sins по + Sdat
115,бежать 1.1,Snom V
116,бежать 1.2,Snom V {ADV / PRоткуда + Sx}
117,бежать 1.3,Snom V {ADV / PRкуда + Sx}
118,бежать 1.4,Snom V PRтраект + Sx
119,бежать 1.5,Snom V на + Sacc
120,бежать 1.6,Snom V за + Sins
121,бежать 1.7,Snom V Vinf
122,бежать 2.1,Snom V
123,бежать 2.2,Snom V {ADV / PRоткуда + Sx}
124,бежать 2.3,Snom V {ADV / PRкуда + Sx}
125,бежать 2.4,Snom V от + Sgen
126,бежать 3.1,Snom V
127,бежать 3.2,Snom V {ADV / PRоткуда + Sx}
128,бежать 3.3,Snom V {ADV / PRкуда + Sx}
129,бежать 3.4,Snom V PRгде + Sx
130,бежать 3.5,Snom V по + Sdat
131,бежать 4.1,Snom V
132,бежать 4.2,Snom V из + Sgen
133,бежать 4.3,Snom V по + Sdat
134,бежать 4.4,Snom V на + Sacc
135,бежать 4.5,Snom V Sins
136,бежать 5.1,Snom V
137,бежать 5.2,Snom V из + Sgen
138,бежать 6.1,Snom V {ADV / PRоткуда + Sx}
139,бежать 6.2,Snom V {ADV / PRкуда + Sx}
140,бежать 6.3,Snom V PRтраект + Sx
141,бежать 7.1,Snom V от + Sgen
142,бежать 8.1,Snom V
143,бежать 9.1,Snom V
144,бежать 9.2,Snom V ADV
145,бежать 9.3,Snom V на + Sacc
146,беречь 1.1,Snom V Sacc
147,беречь 1.2,Snom V Sacc для + Sgen
148,беречь 2.1,Snom V Sacc
149,беречь 3.1,Snom V Sacc
150,беречь 3.2,Snom V Sacc от + Sgen
151,беречься 1.1,Snom V
152,беречься 1.2,Snom V Sgen
153,беседовать 1.1,Snom V
154,беседовать 1.2,Snom V с + Sins
155,беседовать 1.3,Snom V {о + Sloc / нa + Aacc + тему}
156,бесить 1.1,Snom V Sacc
157,бесить 1.2,Sacc Vimpers Conj + CL
158,бесить 1.3,Snom V Sacc Sins
159,беситься 1.1,Snom V
160,беситься 1.2,Snom V от + Sgen
161,беситься 1.3,Snom V Conj + CL
162,беситься 2.1,Snom V
163,беспокоить 1.1,Snom V Sacc
164,беспокоить 1.2,Sacc Vimpers Conj + CL
165,беспокоить 1.3,Sacc Vimpers как + бы + CL
166,беспокоить 1.4,Sacc Vimpers Rel + CL
167,беспокоить 2.1,Snom V Sacc
168,беспокоить 2.2,Snom V Sacc Sins
169,беспокоить 3.1,Snom V Sacc
170,беспокоиться 1.1,Snom V
171,беспокоиться 1.2,Snom V из-за + Sgen
172,беспокоиться 1.3,Snom V за + Sacc
173,беспокоиться 1.4,Snom V о + Sloc
174,беспокоиться 1.5,Snom V Conj + CL
175,беспокоиться 1.6,Snom V как + бы + CL
176,беспокоиться 1.7,Snom V Rel + CL
177,беспокоиться 2.1 'заботиться',Snom V
178,беспокоиться 2.2 'искать',Snom V о + Sloc
179,беспокоиться 3.1 'лежать неспокойно',Snom V
180,бить 1.1,Snom V
181,бить 1.2,Snom V Sacc
182,бить 1.3,Snom V Sacc по + Sdat
183,бить 1.4,Snom V [Sacc] в + Sacc
184,бить 1.5,Snom V Sacc за + Sacc
185,бить 1.6,Snom V Sacc под + Sacc
186,бить 1.7,Snom V Sacc Sins
187,бить 2.1,Snom V Sacc
188,бить 3.1,Snom V Sacc
189,бить 3.2,Snom V Sacc Sins
190,бить 4.1,Snom V Sacc
191,бить 4.2,Snom V Sacc Sins
192,бить 5.1,Snom V Sacc
193,бить 5.2,Snom V Sacc Sins
194,бить 6.1,Snom V Sins по + Sdat
195,бить 6.2,Snom V Sins в + Sacc
